BARRIO;COMUNA
RECOLETA;2
CABALLITO;6
FLORESTA;10
MONTE CASTRO;10
VELEZ SARSFIELD;10
VERSALLES;10
VILLA LURO;10
VILLA REAL;10
VILLA DEL PARQUE;11
VILLA DEVOTO;11
VILLA GRAL. MITRE;11
VILLA SANTA RITA;11
COGHLAN;12
SAAVEDRA;12
VILLA PUEYRREDON;12
VILLA URQUIZA;12
PALERMO;14
AGRONOMIA;15
CHACARITA;15
PARQUE CHAS;15
PATERNAL;15
VILLA CRESPO;15
VILLA ORTUZAR;15
BELGRANO;13
COLEGIALES;13
NUÑEZ;13
BARRACAS;4
BOCA;4
NUEVA POMPEYA;4
PARQUE PATRICIOS;4
ALMAGRO;5
BOEDO;5
PARQUE CHACABUCO;7
FLORES;7
BALVANERA;3
SAN CRISTOBAL;3
LINIERS;9
MATADEROS;9
PARQUE AVELLANEDA;9
VILLA LUGANO;8
VILLA RIACHUELO;8
VILLA SOLDATI;8
CONSTITUCION;1
MONSERRAT;1
PUERTO MADERO;1
RETIRO;1
SAN NICOLAS;1
SAN TELMO;1
